number,name,position,age,nation,club,value
1,Erling Haaland,Centre-Forward,23,Norway,Manchester City,€180.00m
2,Kylian Mbappé,Centre-Forward,24,France Cameroon,Paris Saint-Germain,€180.00m
3,Vinicius Junior,Left Winger,23,Brazil Spain,Real Madrid,€150.00m
4,Jude Bellingham,Central Midfield,20,England Ireland,Real Madrid,€120.00m
5,Bukayo Saka,Right Winger,21,England Nigeria,Arsenal FC,€120.00m
6,Victor Osimhen,Centre-Forward,24,Nigeria,SSC Napoli,€120.00m
7,Jamal Musiala,Attacking Midfield,20,Germany England,Bayern Munich,€110.00m
8,Phil Foden,Left Winger,23,England,Manchester City,€110.00m
9,Pedri,Central Midfield,20,Spain,FC Barcelona,€100.00m
10,Rodrygo,Right Winger,22,Brazil Spain,Real Madrid,€100.00m
11,Federico Valverde,Central Midfield,25,Uruguay Spain,Real Madrid,€100.00m
12,Gavi,Central Midfield,18,Spain,FC Barcelona,€90.00m
13,Declan Rice,Defensive Midfield,24,England Ireland,Arsenal FC,€90.00m
14,Rodri,Defensive Midfield,27,Spain,Manchester City,€90.00m
15,Rafael Leão,Left Winger,24,Portugal Angola,AC Milan,€90.00m
16,Martin Ødegaard,Attacking Midfield,24,Norway,Arsenal FC,€90.00m
17,Harry Kane,Centre-Forward,30,England,Tottenham Hotspur,€90.00m
18,Eduardo Camavinga,Central Midfield,20,France Congo,Real Madrid,€85.00m
19,Florian Wirtz,Attacking Midfield,20,Germany,Bayer 04 Leverkusen,€85.00m
20,Khvicha Kvaratskhelia,Left Winger,22,Georgia,SSC Napoli,€85.00m
21,Aurélien Tchouaméni,Defensive Midfield,23,France Cameroon,Real Madrid,€85.00m
22,Lautaro Martínez,Centre-Forward,25,Argentina,Inter Milan,€85.00m
23,Gabriel Martinelli,Left Winger,22,Brazil Italy,Arsenal FC,€80.00m
24,Enzo Fernández,Defensive Midfield,22,Argentina,Chelsea FC,€80.00m
25,Randal Kolo Muani,Centre-Forward,24,France DR Congo,Eintracht Frankfurt,€80.00m
26,Christopher Nkunku,Second Striker,25,France DR Congo,Chelsea FC,€80.00m
27,Marcus Rashford,Left Winger,25,England St. Kitts & Nevis,Manchester United,€80.00m
